Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards,Code
Curtis Jacobs,22,NWE,LB,9,2,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,,JacoCu00
Josh Jacobs,26,GNB,RB,17,17,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,PB,JacoJo01
Derwin James,28,LAC,S,16,16,1,2,0,2,7,0,0,1,0,0,5.5,93,60,33,10,6,0,PBAP-2,JameDe00
Grady Jarrett,31,ATL,DL,17,17,0,0,0,0,0,0,0,0,0,0,2.5,53,30,23,9,12,0,,JarrGr00
Javontae Jean-Baptiste,24,WAS,DE,12,1,0,0,0,0,0,0,0,0,0,0,1,13,6,7,1,2,0,,JeanJa00
Shemar Jean-Charles,26,NOR,DB,9,2,1,0,0,0,2,0,0,0,0,0,0,14,6,8,0,0,0,,JeanSh00
Jordan Jefferson,23,JAX,DT,8,0,0,0,0,0,1,0,0,0,0,0,1,12,6,6,1,1,0,,JeffJo01
Justin Jefferson,25,MIN,WR,17,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,PBAP-1,JeffJu00
Quinton Jefferson,31,2TM,DT,12,0,0,0,0,0,0,0,0,0,0,0,2,14,5,9,3,4,0,,JeffQu00
Tony Jefferson,32,LAC,S,8,4,0,0,0,0,0,0,0,0,0,0,0,27,17,10,1,0,0,,JeffTo00
John Jenkins,35,LVR,DT,17,17,0,0,0,0,2,0,0,0,0,0,1,46,13,33,3,4,0,,JenkJo00
Kris Jenkins,23,CIN,DT,15,9,0,0,0,0,0,0,0,0,0,0,3,31,10,21,3,5,0,,JenkKr01
Rayshawn Jenkins,30,SEA,SS,13,9,0,0,0,0,0,0,0,1,102,1,2,53,34,19,2,2,0,,JenkRa00
Teven Jenkins,26,CHI,OL,14,14,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,,JenkTe00
Anfernee Jennings,27,NWE,LB,16,16,0,0,0,0,1,1,0,0,0,0,2.5,78,43,35,7,9,0,,JennAn00
Jauan Jennings,27,SFO,WR,15,10,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,JennJa00
Josey Jewell,30,CAR,LB,12,12,1,0,0,0,7,0,0,2,0,0,3.5,97,51,46,7,4,0,,JeweJo00
Josh Jobe,26,SEA,CB,10,6,1,33,0,33,7,0,0,0,0,0,0,37,29,8,0,0,0,,JobeJo00
Anthony Johnson,25,NYG,S,9,0,0,0,0,0,1,0,0,0,0,0,0,5,2,3,0,0,0,,JohnAn08
Antonio Johnson,23,JAX,S,17,8,0,0,0,0,2,0,0,0,0,0,0,73,55,18,1,0,0,,JohnAn07
Austin Johnson,30,BUF,DT,15,1,2,9,0,5,2,0,0,0,0,0,0.5,19,7,12,0,1,0,,JohnAu01
Buddy Johnson,25,DAL,LB,14,0,0,0,0,0,0,0,0,0,0,0,0,8,3,5,0,0,0,,JohnBu01
Caleb Johnson,26,JAX,LB,17,0,0,0,0,0,0,0,0,0,0,0,0,9,6,3,0,0,0,,JohnCa04
Cedric Johnson,22,CIN,DE,9,0,0,0,0,0,0,0,0,0,0,0,1,7,5,2,1,4,0,,JohnCe01
Collin Johnson,27,CHI,WR,9,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,0,0,0,,JohnCo01
D'Ernest Johnson,28,JAX,RB,14,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,,JohnDE04
Desjuan Johnson,25,LAR,DE,10,0,0,0,0,0,0,0,0,0,0,0,1,12,4,8,1,1,0,,JohnDe08
DJ Johnson,26,CAR,OLB,14,2,0,0,0,0,1,0,0,1,0,0,0.5,44,19,25,3,1,0,,JohnDJ00
Dyontae Johnson,24,NYG,LB,2,0,0,0,0,0,0,0,0,0,0,0,0,11,6,5,0,0,0,,JohnDy00
Eric Johnson,26,NWE,DT,11,0,0,0,0,0,0,0,0,0,0,0,0,17,2,15,0,0,0,,JohnEr01
Fred Johnson,27,PHI,T,17,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,JohnFr01
Jakob Johnson,30,NYG,FB,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,JohnJa12
Jaylon Johnson,25,CHI,DB,17,17,2,11,0,9,8,1,0,0,0,0,0,53,42,11,7,0,0,PB,JohnJa13
Jermaine Johnson II,25,NYJ,LB,2,2,0,0,0,0,0,0,0,0,0,0,0,4,4,0,1,0,0,,JohnJe07
John Johnson,29,LAR,S,2,1,1,0,0,0,1,0,0,0,0,0,0,8,4,4,0,0,0,,JohnJo10
Juwan Johnson,28,NOR,TE,17,5,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,,JohnJu02
Lane Johnson,34,PHI,T,15,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,PBAP-2,JohnLa01
Lonnie Johnson Jr.,29,CAR,S,15,1,0,0,0,0,0,0,0,0,0,0,0,7,6,1,0,0,0,,JohnLo01
Nazeeh Johnson,26,KAN,S,16,6,0,0,0,0,3,0,0,0,0,0,1,56,33,23,3,1,0,,JohnNa01
Patrick Johnson,26,NYG,OLB,12,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,0,1,0,,JohnPa02
Roschon Johnson,23,CHI,RB,14,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,JohnRo07
Taron Johnson,28,BUF,CB,12,12,2,23,1,23,5,1,0,1,0,1,1,65,42,23,1,1,0,,JohnTa01
Ty Johnson,27,BUF,RB,17,1,0,0,0,0,0,0,0,1,0,0,0,5,5,0,0,0,0,,JohnTy02
Aaron Jones,30,MIN,RB,17,17,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,,JoneAa00
Andre Jones,26,WAS,DE,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,JoneAn02
Benito Jones,27,MIA,DT,17,15,0,0,0,0,0,0,0,0,0,0,0,24,9,15,4,3,0,,JoneBe03
Brandon Jones,26,DEN,S,16,15,3,74,0,37,10,1,0,1,34,0,0,115,79,36,2,1,0,,JoneBr06
Cam Jones,25,KAN,LB,17,1,0,0,0,0,0,0,0,0,0,0,0,19,13,6,0,1,0,,JoneCa04
Charlie Jones,26,CIN,WR,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,JoneCh11
Chris Jones,30,KAN,DT,15,15,0,0,0,0,0,1,0,0,0,0,5,37,19,18,9,20,0,PBAP-1,JoneCh09
D.J. Jones,29,DEN,DT,17,17,0,0,0,0,3,0,0,1,0,0,1,42,21,21,1,3,0,,JoneD.01
Daniel Jones,27,NYG,QB,10,10,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,,JoneDa05
DaQuan Jones,33,BUF,DT,16,16,0,0,0,0,1,0,0,0,0,0,2.5,23,11,12,5,7,0,,JoneDa04
Deion Jones,30,TAM,MLB,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,JoneDe01
Dre'Mont Jones,27,SEA,LB,17,7,0,0,0,0,1,1,0,0,0,0,4,28,14,14,7,13,1,,JoneDr00
Ernest Jones,25,2TM,LB,16,15,1,12,0,12,4,1,0,0,0,0,0.5,138,77,61,4,3,0,,JoneEr01
Jack Jones,27,LVR,CB,17,16,3,53,1,29,16,0,0,0,0,0,0,69,52,17,3,0,0,,JoneJa10
Jarrian Jones,23,JAX,CB,17,4,1,0,0,0,8,0,0,0,0,0,2,40,30,10,1,2,0,,JoneJa14
Jaylon Jones,27,CHI,DB,8,1,0,0,0,0,2,0,0,0,0,0,0,15,13,2,0,0,0,,JoneJa12
Jaylon Jones,22,IND,CB,17,17,2,5,0,5,12,1,0,0,0,0,0,100,66,34,3,0,0,,JoneJa13
Jonathan Jones,31,NWE,CB,17,14,0,0,0,0,6,2,0,0,0,0,0,58,41,17,0,0,0,,JoneJo03
Justin Jones,28,ARI,DL,3,3,0,0,0,0,0,0,0,1,0,0,0,4,3,1,1,1,0,,JoneJu03
Mac Jones,26,JAX,QB,10,7,0,0,0,0,0,0,2,1,-1,0,0,0,0,0,0,0,0,,JoneMa05
Marcus Jones,26,NWE,CB,14,9,1,35,0,35,10,0,2,2,17,0,0,58,48,10,1,0,0,,JoneMa06
Naquan Jones,26,ARI,DT,12,0,0,0,0,0,2,0,0,0,0,0,3,27,11,16,4,4,0,,JoneNa01
Patrick Jones II,26,MIN,OLB,15,1,0,0,0,0,0,1,0,0,0,0,7,39,19,20,9,12,0,,JonePa00
Robert Jones,25,MIA,OL,17,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,JoneRo02
Tim Jones,26,JAX,WR,17,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,,JoneTi00
Travis Jones,25,BAL,DT,17,15,0,0,0,0,0,0,0,0,0,0,1,42,22,20,4,4,0,,JoneTr00
Truman Jones,24,NWE,DE,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,,JoneTr01
Velus Jones Jr.,27,CHI,WR,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,JoneVe00
Vi Jones,26,TAM,LB,7,0,0,0,0,0,0,2,0,0,0,0,0,9,5,4,0,0,0,,JoneVi00
Cameron Jordan,35,NOR,DE,17,17,1,0,0,0,4,0,0,0,0,0,4,34,18,16,7,8,0,,JordCa00
Brandon Joseph,23,DET,S,14,1,0,0,0,0,1,0,0,0,0,0,0,13,11,2,0,0,0,,JoseBr00
Kelvin Joseph,25,IND,CB,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,JoseKe02
Kerby Joseph,24,DET,S,17,17,9,99,1,33,12,0,0,0,0,0,0,83,58,25,1,1,0,AP-1,JoseKe03
Linval Joseph,36,DAL,DT,17,0,0,0,0,0,0,1,0,0,0,0,2,19,9,10,2,3,0,,JoseLi99
Sebastian Joseph-Day,29,TEN,DL,17,12,0,0,0,0,1,0,0,0,0,0,2.5,44,18,26,3,6,0,,JoseSe00
Matt Judon,32,ATL,OLB,17,15,1,27,1,27,5,0,0,0,0,0,5.5,41,25,16,7,9,0,,JudoMa00
Cam Jurgens,25,PHI,OL,16,16,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,PB,JurgCa01
Kyle Juszczyk,33,SFO,FB,17,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,PBAP-2,JuszKy00
Alvin Kamara,29,NOR,RB,14,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,KamaAl00
Mohamed Kamara,25,MIA,LB,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,,KamaMo00
Sam Kamara,27,CLE,DE,11,1,0,0,0,0,0,0,0,0,0,0,0,15,10,5,1,0,0,,KamaSa00
Calijah Kancey,23,TAM,DL,12,12,0,0,0,0,0,1,0,1,0,0,7.5,28,22,6,11,17,0,,KancCa00
Sanoussi Kane,23,BAL,S,15,0,0,0,0,0,0,0,0,0,0,0,0,9,5,4,0,0,0,,KaneSa00
Khalid Kareem,26,ATL,OLB,2,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,,KareKh00
George Karlaftis III,23,KAN,DE,16,11,0,0,0,0,5,0,0,0,0,0,8,35,21,14,9,28,0,,KarlGe00
Damontae Kazee,31,PIT,S,15,1,1,5,0,5,2,0,0,0,0,0,0,31,22,9,0,0,0,,KazeDa00
Travis Kelce,35,KAN,TE,16,16,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,PB,KelcTr00
Kyu Blu Kelly,23,LVR,CB,4,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,,BluxKy00
Eric Kendricks,32,DAL,MLB,15,15,2,15,0,8,3,3,0,1,0,0,3,138,71,67,4,3,0,,KendEr00
Arden Key,28,TEN,OLB,16,15,0,0,0,0,1,2,0,1,0,0,6.5,42,24,18,11,15,0,,KeyxAr00
Devon Key,27,DEN,DB,17,2,0,0,0,0,0,0,0,0,0,0,1,33,17,16,1,1,0,,KeyxDe00
Ramel Keyton,24,LVR,WR,8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,KeytRa00
Ko Kieft,26,TAM,TE,17,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,,KiefKo00
Miles Killebrew,31,PIT,S,17,0,0,0,0,0,0,0,0,0,0,0,0,13,8,5,0,0,0,,KillMi00
Dalton Kincaid,25,BUF,TE,13,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,KincDa00
Kamren Kinchens,22,LAR,DB,17,4,4,123,1,103,6,1,1,1,0,0,0,57,36,21,1,0,0,,KincKa00
Desmond King,30,BAL,CB,2,0,0,0,0,0,0,0,2,0,0,0,0,3,2,1,0,0,0,,KingDe01
Kevin King,29,ATL,CB,15,1,0,0,0,0,2,0,0,1,0,0,0,10,6,4,0,0,0,,KingKe01
Javon Kinlaw,27,NYJ,DT,17,17,0,0,0,0,0,2,0,1,4,0,4.5,40,27,13,5,5,0,,KinlJa00
Marshawn Kneeland,23,DAL,DE,11,1,0,0,0,0,1,0,0,1,0,0,0,14,9,5,2,3,0,,KneeMa00
Tyrice Knight,24,SEA,LB,16,9,0,0,0,0,2,0,0,1,-2,0,1.5,88,41,47,3,4,0,,KnigTy00
Kader Kohou,26,MIA,CB,15,9,2,2,0,2,8,1,0,1,0,0,0,45,33,12,3,0,0,,KohoKa00
Charlie Kolar,25,BAL,TE,13,3,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,,KolaCh00
Younghoe Koo,30,ATL,K,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,KooxYo00
Tanoh Kpassagnon,30,NOR,DE,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,,KpasTa00
Tucker Kraft,24,GNB,TE,17,17,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,,KrafTu00
Casey Kreiter,34,NYG,LS,17,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,0,0,0,,KreiCa00
Christian Kuntz,30,PIT,LS,17,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,,KuntCh02
Cooper Kupp,31,LAR,WR,12,11,0,0,0,0,0,0,1,1,5,0,0,0,0,0,0,0,0,,KuppCo00
William Kwenkeu,27,BAL,LB,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,KwenWi00
Tyler Lacy,25,JAX,DT,13,8,0,0,0,0,0,0,0,0,0,0,0,25,10,15,2,1,0,,LacyTy00
Quentin Lake,25,LAR,DB,17,16,0,0,0,0,5,0,0,0,0,0,2,111,73,38,1,2,0,,LakeQu00
CeeDee Lamb,25,DAL,WR,15,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,PBAP-2,LambCe00
Kendall Lamm,32,MIA,T,15,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,LammKe00
Chris Lammons,28,IND,CB,14,1,0,0,0,0,0,1,0,2,3,0,1,12,10,2,1,1,0,,LammCh00
Isaiah Land,24,IND,DE,10,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,,LandIs00
Nathan Landman,26,ATL,LB,13,9,0,0,0,0,1,3,0,0,0,0,0,81,39,42,0,0,0,,LandNa01
Harold Landry,28,TEN,OLB,17,17,0,0,0,0,4,0,0,0,0,0,9,71,42,29,15,15,1,,LandHa00
Kamari Lassiter,21,HOU,CB,14,14,3,9,0,9,10,0,0,0,0,0,0,58,42,16,4,0,1,,LassKa00
JC Latham,21,TEN,OT,17,17,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,,LathJC00
Marshon Lattimore,28,2TM,CB,9,9,0,0,0,0,5,0,0,0,0,0,0,34,25,9,0,0,0,,LattMa01
Laiatu Latu,24,IND,DE,17,1,0,0,0,0,1,3,0,1,0,0,4,32,16,16,5,12,0,,LatuLa00
Dylan Laube,25,LVR,RB,10,0,0,0,0,0,0,0,1,0,0,0,0,3,1,2,0,0,0,,LaubDy00
Jonah Laulu,24,LVR,DT,17,7,0,0,0,0,3,0,0,0,0,0,1,35,15,20,3,2,0,,LaulJo00
DeMarcus Lawrence,32,DAL,DE,4,4,0,0,0,0,0,1,0,0,0,0,3,14,7,7,4,5,0,,LawrDe00
Dexter Lawrence,27,NYG,DL,12,12,0,0,0,0,1,1,0,0,0,0,9,44,23,21,8,16,0,PB,LawrDe03
Trevor Lawrence,25,JAX,QB,10,10,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,,LawrTr00
Carl Lawson,29,DAL,DE,15,3,0,0,0,0,0,1,0,0,0,0,5,15,7,8,4,15,0,,LawsCa00
Raheem Layne,25,NYG,S,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,,LaynRa00
DeMarvin Leal,24,PIT,DE,5,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,1,0,,LealDe00
Jeremiah Ledbetter,30,JAX,DT,15,3,0,0,0,0,0,0,0,0,0,0,2,38,20,18,8,4,0,,LedbJe00
Deommodore Lenoir,25,SFO,DB,15,15,2,33,0,33,9,1,0,0,0,0,0,85,53,32,2,0,0,,LenoDe00
Titus Leo,25,NWE,LB,4,0,0,0,0,0,1,0,0,0,0,0,0,4,4,0,1,0,0,,LeoxTi00
Deane Leonard,25,LAC,DB,10,0,0,0,0,0,3,0,0,0,0,0,0,8,6,2,1,0,0,,LeonDe00
Eku Leota,25,2TM,OLB,3,1,0,0,0,0,0,0,0,0,0,0,1,5,5,0,3,1,0,,LeotEk00
Nick Leverett,27,NWE,G,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,LeveNi00
Will Levis,25,TEN,QB,12,12,0,0,0,0,0,0,10,3,-20,0,0,0,0,0,0,0,0,,LeviWi00
Cameron Lewis,27,BUF,DB,17,6,1,0,0,0,4,0,0,0,0,0,0,68,47,21,2,0,0,,LewiCa00
Jourdan Lewis,29,DAL,CB,16,13,1,0,0,0,8,1,0,1,0,0,1,71,39,32,3,2,0,,LewiJo01
Tyquan Lewis,29,IND,DE,10,4,0,0,0,0,0,1,0,0,0,0,1.5,24,14,10,2,4,0,,LewiTy00
Isaiah Likely,24,BAL,TE,16,9,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,,LikeIs00
Beaux Limmer,23,LAR,OL,16,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,LimmBe00
Tyler Linderbaum,24,BAL,C,17,17,0,0,0,0,0,0,2,0,-13,0,0,0,0,0,0,0,0,PB,LindTy00
Marist Liufau,23,DAL,LB,17,9,0,0,0,0,3,2,0,1,0,0,1.5,50,30,20,4,2,0,,LiufMa00
Devin Lloyd,26,JAX,LB,16,16,1,3,0,3,4,1,0,0,0,0,2,113,61,52,7,5,0,,LloyDe00
Drew Lock,28,NYG,QB,8,5,0,0,0,0,0,0,5,2,-1,0,0,0,0,0,0,0,0,,LockDr00
P.J. Locke,27,DEN,S,15,15,0,0,0,0,2,1,0,0,0,0,1,74,50,24,3,1,0,,LockPJ00
Zion Logue,23,BUF,DT,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,,LoguZi00
Drake London,23,ATL,WR,17,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,LondDr00
David Long,28,2TM,LB,13,7,0,0,0,0,0,0,0,1,0,0,0,45,29,16,3,0,0,,LongDa04
Hunter Long,26,LAR,TE,17,2,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,,LongHu00
Roy Lopez,27,ARI,DL,16,16,0,0,0,0,3,1,0,1,0,0,1,28,10,18,4,3,0,,LopeRo00
Isaiahh Loudermilk,27,PIT,DT,16,0,0,0,0,0,1,0,0,0,0,0,0,17,10,7,0,0,0,,LoudIs00
Jordan Love,26,GNB,QB,15,15,0,0,0,0,0,0,4,2,-7,0,0,0,0,0,0,0,0,,LoveJo03
Julian Love,26,SEA,FS,17,17,3,33,0,26,12,2,0,1,6,0,0,109,79,30,3,0,0,,LoveJu00
Dean Lowry,30,PIT,DT,12,1,0,0,0,0,1,0,0,0,0,0,1,5,1,4,0,1,0,,LowrDe00
Hunter Luepke,24,DAL,RB,16,4,0,0,0,0,0,0,0,0,0,0,0,12,4,8,0,0,0,,LuepHu00
Jesse Luketa,25,ARI,OLB,10,2,0,0,0,0,0,1,0,0,0,0,3,21,12,9,4,4,0,,LukeJe00
Darrell Luter,24,SFO,CB,3,0,0,0,0,0,0,1,0,0,0,0,0,3,1,2,0,0,0,,LuteDa00
Frankie Luvu,28,WAS,LB,17,17,1,0,0,0,7,1,0,2,5,0,8,99,54,45,12,14,0,AP-2,LuvuFr00
Blake Lynch,27,KAN,LB,1,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,1,0,0,,LyncBl00
James Lynch,25,TEN,DL,17,0,0,0,0,0,2,0,0,0,0,0,1,20,6,14,2,2,0,,LyncJa00
Khalil Mack,33,LAC,OLB,16,16,0,0,0,0,9,2,0,1,22,0,6,39,20,19,6,15,0,PB,MackKh00
Avonte Maddox,28,PHI,CB,17,3,0,0,0,0,5,0,1,0,0,0,0,20,9,11,0,0,0,,MaddAv00
Nnamdi Madubuike,27,BAL,DT,17,17,0,0,0,0,1,1,0,0,0,0,6.5,43,21,22,11,17,0,PB,MaduJu00
Boye Mafe,26,SEA,LB,15,11,0,0,0,0,3,1,0,0,0,0,6,40,25,15,8,12,0,,MafeBo00
Jordan Magee,23,WAS,LB,8,1,0,0,0,0,0,0,0,0,0,0,0,9,7,2,0,0,0,,MageJo00
Patrick Mahomes,29,KAN,QB,16,16,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,,MahoPa00
Jaylen Mahoney,24,SFO,S,3,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,,MahoJa00
DeAngelo Malone,25,ATL,OLB,17,0,0,0,0,0,0,0,0,0,0,0,2,16,8,8,3,3,0,,MaloDe00
Chris Manhertz,32,NYG,TE,17,11,0,0,0,0,0,0,0,1,-1,0,0,1,1,0,0,0,0,,ManhCh00
Marte Mapu,25,NWE,S,10,9,1,6,0,6,6,3,0,0,0,0,0.5,46,23,23,0,1,0,,MapuMa00
Marcus Mariota,31,WAS,QB,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,MariMa01
Brodric Martin,25,DET,DL,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,MartBr00
Jacob Martin,29,CHI,DL,11,0,0,0,0,0,1,0,0,0,0,0,3,15,9,6,3,6,0,,MartJa02
Quan Martin,24,WAS,DB,16,16,1,29,0,29,3,3,0,0,0,0,0,87,50,37,2,1,0,,MartJa04
David Martin-Robinson,25,TEN,TE,5,2,0,0,0,0,0,0,0,1,0,0,0,3,1,2,0,0,0,,MartDa01
Jordan Mason,25,SFO,RB,12,6,0,0,0,0,0,0,3,3,-2,0,0,0,0,0,0,0,0,,MasoJo00
Luke Masterson,26,LVR,LB,4,2,0,0,0,0,0,0,0,0,0,0,0,17,10,7,0,0,0,,MastLu00
Tyler Matakevich,32,PIT,LB,11,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,,MataTy00
Tyrann Mathieu,32,NOR,S,17,17,3,29,0,23,7,2,0,1,0,0,0,62,47,15,1,0,0,,MathTy00
Damarri Mathis,25,DEN,CB,10,1,0,0,0,0,1,0,0,0,0,0,0,3,1,2,0,0,0,,MathDa00
Ochaun Mathis,25,2TM,OLB,6,0,0,0,0,0,0,1,0,0,0,0,0,3,2,1,0,0,0,,MathOc00
Phidarian Mathis,26,WAS,DT,12,0,0,0,0,0,1,0,0,0,0,0,0,17,8,9,2,0,0,,MathPh00
Ross Matiscik,28,JAX,LS,17,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,PBAP-2,MatiRo00
Scott Matlock,24,LAC,DL,17,11,0,0,0,0,1,0,0,0,0,0,1,7,2,5,1,1,0,,MatlSc00
Jake Matthews,32,ATL,T,17,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,MattJa00
Jordan Matthews,32,CAR,TE,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,MattJo00
Alexander Mattison,26,LVR,RB,14,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,MattAl01
Kana'i Mauga,24,LVR,LB,12,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,,MaugKa00
Arthur Maulet,31,BAL,CB,3,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,0,0,0,,MaulAr00
Drake Maye,22,NWE,QB,13,12,0,0,0,0,0,0,9,4,-26,0,0,0,0,0,0,0,0,,MayeDr00
Marcus Maye,31,2TM,S,15,4,1,0,0,0,3,0,0,0,0,0,0,42,19,23,1,0,0,,MayeMa00
Baker Mayfield,29,TAM,QB,17,17,0,0,0,0,0,0,13,8,-18,0,0,0,0,0,0,0,0,,MayfBa00
Tyreik McAllister,26,LVR,WR,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,McAlTy00
Trey McBride,25,ARI,TE,16,16,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,PB,McBrTr01
Christian McCaffrey,28,SFO,RB,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,McCaCh01
Bobby McCain,31,MIN,S,3,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,,McCaBo01
Tanner McCalister,23,DEN,S,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,McCaTa00
Nick McCloud,26,2TM,CB,15,5,0,0,0,0,1,0,0,0,0,0,0,25,14,11,1,0,0,,McClNi00
Ray-Ray McCloud,28,ATL,WR,17,13,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,,McClRa00
Jaylen McCollough,24,LAR,DB,17,1,4,6,1,4,4,0,0,0,0,0,0,43,26,17,0,1,0,,McCoJa02
Tristin McCollum,25,PHI,S,14,2,0,0,0,0,2,0,0,0,0,0,0,33,18,15,0,0,0,,McCoTr00
Zyon McCollum,25,TAM,CB,17,17,2,4,0,4,17,0,0,1,0,0,0,82,55,27,1,0,0,,McCoZy02
Ladd McConkey,23,LAC,WR,16,14,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,McCoLa00
Marcelino McCrary-Ball,25,NYJ,LB,12,0,0,0,0,0,0,0,0,0,0,0,0,7,3,4,0,0,0,,McCrMa01
Roger McCreary,24,TEN,CB,15,7,0,0,0,0,1,0,0,0,0,0,1,50,43,7,12,2,0,,McCrRo01
Will McDonald,25,NYJ,DE,17,15,0,0,0,0,3,2,0,1,0,0,10.5,28,18,10,11,24,0,,McDoWi00
Isaiah McDuffie,25,GNB,LB,17,17,0,0,0,0,3,1,0,0,0,0,0.5,97,46,51,3,3,0,,McDuIs00
Trent McDuffie,24,KAN,CB,16,16,2,0,0,0,13,1,0,0,0,0,0.5,59,45,14,6,4,0,AP-2,McDuTr00
Micah McFadden,24,NYG,LB,14,14,0,0,0,0,1,1,0,1,0,0,3,107,60,47,8,6,0,,McFaMi01
T.Y. McGill,32,2TM,DT,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,1,0,,McGiT.00
Braiden McGregor,23,NYJ,DE,7,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,0,0,0,,McGrBr00
